ACT I,ACT II,,,,,,
Soulstylz,Foy & Camille,,,,,,
Bonnie & Emily,Shelly,,,,,,
CMU Abhinaya,Helix Dance Crew,,,,,,
Lora,ARCC,,,,,,DO NOT DELETE THIS TEXT!!
SPIRIT Dance,YMCAyyy,,,,,,1. Duplicate this sheet; change the title to the semester (ex. S15)
KPDC,En Pointe,,,,,,2. Copy the headers and dances to this sheet exactly as shown to your right
Greta & Michalina,Tricking Club,,,,,,3. Download this file as an .csv; making sure this sheet is open and selected when downloading
CMU Jiya,CMU Sahara,,,,,,"4. Run the code ""show_order.py"" and pray to the coding gods that it works"
Karen,Clover x Mara,,,,,,
CMU Bhangra,Infra,,,,,,
Olivia,CMU Raasta,,,,,,
Nina & Lily,Yoona,,,,,,
